town,zip,home_price,price_per_sqft,interior_sqft,lot_size_sqft,bedrooms,bathrooms
Memphis,38106,71380.29912076742,38.177238078473366,1869.7083056151187,18523.770581920227,4,3
Memphis,38106,83180.41166697192,34.79312040690817,2390.7143335857986,13932.465321576166,2,2
Memphis,38106,40759.643451377924,38.98185606380764,1045.6055090004002,8291.407715786281,6,4
Memphis,38106,74523.50823896917,43.64698761972657,1707.414699228584,5426.419233402921,3,2
Memphis,38106,43215.54030845919,34.282079589411985,1260.5868963038724,12162.719928398385,7,1
Memphis,38106,45018.882306559535,34.28216708793934,1313.1865961413341,10130.318640841688,4,3
Memphis,38106,56210.89551439331,43.94641470024664,1279.078074919223,13688.51929296509,5,2
Memphis,38106,47350.41051971608,39.62004338902043,1195.112535713121,11711.187982136122,3,3
Memphis,38106,49586.67801171561,33.02793626015967,1501.355628796284,15016.854008038008,1,4
Memphis,38106,46298.96630011073,38.4215737522914,1205.0252443745758,5802.567051623181,4,1
Memphis,38106,52466.91916984971,33.06021540615598,1587.0108081655178,17634.866280869534,6,1
Memphis,38106,48406.608272047226,33.04789327834732,1464.7411217514068,9006.993260007413,4,3
Memphis,38106,51445.842890342785,36.81953792631118,1397.2430342092825,27787.82750442354,3,2
Memphis,38106,29947.979209022593,25.33317293609627,1182.1645588796682,5290.585132575326,4,3
Memphis,38106,33818.97114736652,26.337050411621792,1284.0834724773574,22669.48673569035,4,4
Memphis,38106,58285.28628180982,32.53328861291023,1791.5583934751799,9008.67508805905,3,3
Memphis,38106,50656.06364755637,30.132116544177688,1681.1319434958327,5411.8486241616665,3,4
Memphis,38106,43219.272269397516,37.20478115906651,1161.6590911962753,5984.124471935738,4,4
Memphis,38106,46666.67594182624,30.690685689509706,1520.5484951995463,6601.07923925328,3,4
Memphis,38106,50119.04241503237,28.003127423733563,1789.7658949533918,10318.527951502054,2,3
Memphis,38106,42350.90688074701,43.341175113967424,977.1517908636196,10947.84720336322,3,1
Memphis,38106,58323.337004546316,34.32672520655701,1699.0649895552965,5670.183833321812,5,3
Memphis,38106,45107.0155421843,35.889891566884295,1256.8167128095943,7883.947942378249,5,3
Memphis,38106,47790.77796875609,27.936804541575384,1710.674458048133,28927.819855409514,5,3
Memphis,38106,39989.45928816584,32.62871226964304,1225.5910977329945,22555.240728090866,4,4
Memphis,38106,34120.433145541916,36.12116194185873,944.6106191285534,10394.073037834472,4,2
Memphis,38106,29026.33593168299,29.395779729127838,987.432080358162,8184.512333874699,2,3
Memphis,38106,56343.1523904372,37.53228258877326,1501.1917342669344,8597.4043480701,5,1
Memphis,38106,51168.80747602677,32.32889610207773,1582.7576454965385,11560.016901586105,3,1
Memphis,38106,40197.15239164337,33.975418160476735,1183.1245814776848,4330.859419443492,3,3
Memphis,38106,56242.43490641707,32.32320461012343,1740.0018217501329,6855.255738850483,3,4
Memphis,38106,44451.91061529778,45.401716584340384,979.0799546691543,2939.6516776836306,7,2
Memphis,38106,51731.60292644197,35.458066540759184,1458.9516003918684,10165.25380454229,2,2
